ExternalID,MainCategoryID,Name,TSAAllowedUOM,UOMConversionFinal
HT3001,Hats,Wool Hat,"[""CS""]","[{""UOMKey"":""CS"",""Factor"":24}]"
HT3002,Hats,Wool Hat,"[""CS""]","[{""UOMKey"":""CS"",""Factor"":48}]"
HT3003,Hats,Elegant Hat,"[""CS""]","[{""UOMKey"":""CS"",""Factor"":24}]"
HT3004,Hats,Elegant Hat,"[""CS""]","[{""UOMKey"":""CS"",""Factor"":24}]"
HT3005,Hats,Outdoor Hat,"[""CS""]","[{""UOMKey"":""CS"",""Factor"":24}]"
HT3006,Hats,Outdoor Hat,"[""CS"",""EA""]","[{""UOMKey"":""CS"",""Factor"":6},{""UOMKey"":""EA"",""Case"":1}]"
HT3007,Hats,Outdoor Hat,"[""CS"",""EA""]","[{""UOMKey"":""CS"",""Factor"":6},{""UOMKey"":""EA"",""Case"":1}]"
HT3008,Hats,Outdoor Hat,"[""CS"",""EA""]","[{""UOMKey"":""CS"",""Factor"":120},{""UOMKey"":""EA"",""Case"":10}]"
HT3009,Hats,Outdoor Hat,"[""CS"",""EA""]","[{""UOMKey"":""CS"",""Factor"":120},{""UOMKey"":""EA"",""Case"":1}]"
HT3010,Hats,Sport Hat,"[""CS"",""EA""]","[{""UOMKey"":""CS"",""Factor"":6},{""UOMKey"":""EA"",""Case"":1}]"













































































































































































































































































































































































































































